Time Stamp = 02/25/2016 10:45:42
Device Name = arduOTO
=======================================================
1, 10:45:42, 0, 0, 0, 0, 0, 0
2, 10:45:42, 0, 0, 0, 0, 0, 0
3, 10:45:42, 0, 0, 0, 0, 0, 0
4, 10:45:43, 0, 0, 0, 0, 0, 0
5, 10:45:43, 0, 0, 0, 0, 0, 0
6, 10:45:43, 0, 0, 0, 0, 0, 0
7, 10:45:43, 0, 0, 0, 0, 0, 0
8, 10:45:43, 0, 0, 0, 0, 0, 0
9, 10:45:43, 0, 0, 0, 0, 0, 0
10, 10:45:43, 0, 0, 0, 0, 0, 0
11, 10:45:44, 0, 0, 0, 0, 0, 0
12, 10:45:44, 0, 0, 0, 0, 0, 0
13, 10:45:44, 0, 0, 0, 0, 0, 0
14, 10:45:44, 0, 0, 0, 0, 0, 0
15, 10:45:44, 0, 0, 0, 0, 0, 0
16, 10:45:44, 0, 0, 0, 0, 0, 0
17, 10:45:44, 0, 0, 0, 0, 0, 0
18, 10:45:45, 0, 0, 0, 0, 0, 0
19, 10:45:45, 0, 0, 0, 0, 0, 0
20, 10:45:45, 0, 0, 0, 0, 0, 0
21, 10:45:45, 0, 0, 0, 0, 0, 0
22, 10:45:45, 0, 0, 0, 0, 0, 0
23, 10:45:45, 0, 0, 0, 0, 0, 0
24, 10:45:45, 0, 0, 0, 0, 0, 0
25, 10:45:45, 0, 0, 0, 0, 0, 0
26, 10:45:46, 0, 0, 0, 0, 0, 0
27, 10:45:46, 0, 0, 0, 0, 0, 0
28, 10:45:46, 0, 0, 0, 0, 0, 0
29, 10:45:46, 0, 0, 0, 0, 0, 0
30, 10:45:46, 0, 0, 0, 0, 0, 0
31, 10:45:46, 0, 0, 0, 0, 0, 0
32, 10:45:46, 0, 0, 0, 0, 0, 0
33, 10:45:47, 0, 0, 0, 0, 0, 0
34, 10:45:47, 0, 0, 0, 0, 0, 0
35, 10:45:47, 0, 0, 0, 0, 0, 0
36, 10:45:47, 0, 0, 0, 0, 0, 0
37, 10:45:47, 0, 0, 0, 0, 0, 0
38, 10:45:47, 0, 0, 0, 0, 0, 0
39, 10:45:47, 0, 0, 0, 0, 0, 0
40, 10:45:48, 0, 0, 0, 0, 0, 0
41, 10:45:48, 0, 0, 0, 0, 0, 0
42, 10:45:48, 0, 0, 0, 0, 0, 0
43, 10:45:48, 0, 0, 0, 0, 0, 0
44, 10:45:48, 0, 0, 0, 0, 0, 0
45, 10:45:48, 0, 0, 0, 0, 0, 0
46, 10:45:48, 0, 0, 0, 0, 0, 0
47, 10:45:48, 0, 0, 0, 0, 0, 0
48, 10:45:49, 0, 0, 0, 0, 0, 0
49, 10:45:49, 0, 0, 0, 0, 0, 0
50, 10:45:49, 0, 0, 0, 0, 0, 0
51, 10:45:49, 0, 0, 0, 0, 0, 0
52, 10:45:49, 0, 0, 0, 0, 0, 0
53, 10:45:49, 0, 0, 0, 0, 0, 0
54, 10:45:49, 0, 0, 0, 0, 0, 0
55, 10:45:50, 0, 0, 0, 0, 0, 0
56, 10:45:50, 0, 0, 0, 0, 0, 0
57, 10:45:50, 0, 0, 0, 0, 0, 0
58, 10:45:50, 0, 0, 0, 0, 0, 0
59, 10:45:50, 0, 0, 0, 0, 0, 0
60, 10:45:50, 0, 0, 0, 0, 0, 0
61, 10:45:50, 0, 0, 0, 0, 0, 0
62, 10:45:51, 0, 0, 0, 0, 0, 0
63, 10:45:51, 0, 0, 0, 0, 0, 0
64, 10:45:51, 0, 0, 0, 0, 0, 0
65, 10:45:51, 0, 0, 0, 0, 0, 0
66, 10:45:51, 0, 0, 0, 0, 0, 0
67, 10:45:51, 0, 0, 0, 0, 0, 0
68, 10:45:51, 0, 0, 0, 0, 0, 0
69, 10:45:51, 0, 0, 0, 0, 0, 0
70, 10:45:52, 0, 0, 0, 0, 0, 0
71, 10:45:52, 0, 0, 0, 0, 0, 0
72, 10:45:52, 0, 0, 0, 0, 0, 0
73, 10:45:52, 0, 0, 0, 0, 0, 0
